name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020,,,,,,
Õ40;22,9127;18,9811;19,9071;17,3209;15,6619;0,
Õ41;13,5004;18,7096;13,6394;8,9288;5,9937;4,8729
Õ42;8,4803;8,1662;8,6088;8,8717;11,2763;0,
Õ43;9,6101;4,1239;14,8123;7,4277;0;0,,
Õ44;10,2349;10,2024;8,7702;7,8158;0;0,,
Õ45;11,502;10,7146;11,5784;11,6731;8,9681;10,9088
Õ46;7,9834;11,3816;10,1766;11,3762;12,3143;0,
Õ47;14,4267;12,016;11,7862;8,9948;0;0,,
Õ48;12,0626;13,5346;8,5443;8,1235;8,7254;0,
Õ49;4,2507;1,5804;1,0823;9,0438;5,3605;0,
Õ50;5,3334;3,7902;4,8686;4,5477;13,952;11,9282
Õ51;8,9389;13,2441;7,1335;7,054;8,5515;6,1504
Õ52;36,0697;13,9028;29,8648;27,5397;20,2823;0,
Õ53;11,0493;7,9572;7,3358;7,2684;4,3358;0,
Õ54;0;0;0;19,1889;33,7064;0,,,,
Õ55;29,085;27,097;13,9198;14,5657;13,7599;0,
Õ56;76,2847;77,2781;77,2951;83,2494;0;0,,
Õ57;25,1951;23,3035;13,328;10,8987;0;0,,
Õ58;21,5884;37,742;15,2175;13,7287;9,5841;0,
Õ59;0;0;0;12,902;15,3636;13,1849,,,
Õ60;13,6323;19,926;34,7366;43,4425;47,1051;53,6467
Õ61;19,3444;12,6594;13,6593;15,0565;20,2838;0,
Õ62;5,1868;5,6176;4,4374;2,4057;2,2979;0,
Õ63;11,572;11,0964;10,0956;9,6944;7,8657;0,
Õ64;14,5002;15,4692;22,0601;20,6647;0;0,,
Õ65;3,9627;2,4292;3,6169;5,1231;11,9533;2,4974
Õ66;38,2527;27,0452;25,649;16,5488;14,9558;0,
Õ67;0;0;19,0361;15,1726;14,3675;13,1826,,
Õ68;0,6636;0,6641;0,4187;0,3138;0,6841;0,
Õ69;40,362;52,6929;42,9412;23,8034;32,4124;0,
Õ70;7,0344;7,6496;6,8449;5,3745;4,1329;47,6846
Õ71;5,0673;7,2567;8,1474;8,2002;9,2039;0,
Õ72;14,8551;19,2752;9,7598;24,1726;10,7191;0,
Õ73;6,7784;18,4358;37,1956;45,2653;35,4245;0,
Õ74;4,9317;6,9932;21,3121;29,9701;0;0,,
Õ75;11,948;34,6216;23,3455;17,4048;13,4473;0,
Õ76;14,6041;31,9807;12,7389;5,3374;6,249;7,8777
Õ77;7,8732;7,3352;11,8348;15,4499;9,8826;18,9605
Õ78;18,091;23,2789;19,4562;11,5653;0;0,,
Õ79;74,0459;38,3682;9,0416;10,196;21,8728;8,858
Õ80;16,8616;12,6808;10,6493;8,9582;8,7443;8,4858
Õ81;15,1327;9,4125;7,7648;32,6144;4,9796;0,
Õ82;16,7648;25,7926;41,9554;72,0996;39,765;33,4018
Õ83;34,4445;33,6791;40,2551;46,0318;48,6486;0,
Õ84;57,1116;27,7307;25,336;24,0224;23,9618;0,
Õ85;1,8325;3,8613;9,9382;9,5925;2,8423;5,954
Õ86;29,4914;39,4883;49,4914;82,1772;0;0,,
Õ87;66,4409;74,1207;73,7184;82,2066;0;0,,
Õ88;43,8536;31,4922;12,3721;13,2195;12,0525;0,
Õ89;12,4031;9,1927;7,2364;7,7455;8,923;12,8
Õ90;17,2905;12,1294;15,7661;20,3961;26,1802;22,874
Õ91;19,5491;12,0693;4,1246;6,9326;7,2154;0,
Õ92;25,9301;20,3735;27,4883;25,6257;0;0,,
Õ93;0;0;0;4,845;4,011;3,8827,,,
Õ94;22,9328;22,2477;16,6738;30,9495;0;0,,
Õ95;35,9314;37,5551;10,4344;10,3037;6,0614;7,8101
Õ96;35,7064;68,5694;9,6368;19,5759;0;0,,
Õ97;22,7201;14,0559;33,8444;8,1724;8,2769;32,8328
Õ98;20,7524;18,5856;16,1982;19,6147;20,0642;20,1496
Õ99;23,6926;2,759;3,4229;9,7753;10,4443;5,4473
Õ100;5,4812;7,1635;13,2398;20,2988;12,5397;12,5496
Õ101;16,0754;21,5643;15,8401;4,4612;0;0,,
Õ102;27,466;25,1148;23,5435;15,2103;0;0,,
Õ103;28,1477;28,1837;23,9958;23,8499;0;0,,
Õ104;0;0;0;0;45,2537;52,518,,,,
Õ105;41,922;36,8379;26,597;19,6625;0;0,,
Õ106;27,1532;46,3255;50,9226;19,2893;49,2098;43,705
Õ107;43,0457;38,6386;42,2601;43,6715;57,5726;56,4066
Õ108;7,2958;13,0003;6,5116;6,6321;0;0,,
Õ109;0;0;0;0;0;0,,,,,,
Õ110;9,3402;9,1044;4,538;5,1582;4,362;7,937
Õ111;18,9822;18,8638;23,2775;35,4432;37,9915;36,9991
Õ112;18,5209;11,3144;19,2662;22,2695;11,5257;0,
Õ113;10,9074;37,3645;42,1884;37,9929;0;0,,
Õ114;9,8571;9,8714;9,0362;8,2855;6,6034;9,8287
Õ115;0,2934;1,1763;1,4388;2,1173;5,0194;0,
Õ116;50,9335;66,9468;25,2964;20,4582;15,6126;32,4594
Õ117;14,092;15,1545;6,3353;8,8551;7,0158;0,
Õ118;32,4696;31,8798;21,0672;27,8735;23,2053;29,1926
Õ119;12,3872;5,0024;4,7963;4,5639;2,0775;2,9832
Õ120;19,1841;12,9598;12,5235;12,2626;4,7174;7,4472
Õ121;9,9821;15,5649;11,4859;53,615;44,9376;33,8963
Õ122;20,6455;19,2521;39,3343;5,749;5,8023;0,
Õ123;22,6247;21,5002;22,5048;18,767;0;0,,
Õ124;24,0454;11,64;19,848;18,9199;12,7711;12,2302
Õ125;11,4701;8,4116;19,7868;41,6576;10,2618;34,263
Õ126;6,3015;15,2567;10,3461;7,279;6,7166;13,8207
Õ127;7,5448;9,7883;6,9335;11,3439;11,8059;5,2725
Õ128;5,3773;6,181;5,1905;3,6645;2,6606;4,366
Õ129;10,2256;10,4146;13,5189;12,5899;0;0,,
Õ130;3,8528;6,4185;5,5421;33,4256;16,74;0,
Õ131;48,1183;52,2382;49,3202;51,1872;62,139;0,
Õ132;0;0;0;0;5,8387;10,9964,,,,
Õ133;41,1976;37,9195;19,5669;4,7161;4,9785;0,
Õ134;19,8834;13,3271;11,3579;7,0497;0;0,,
Õ135;41,7791;41,0037;34,5111;8,8757;10,9982;7,237
Õ136;13,433;17,6689;17,1118;22,0312;11,8678;24,8436
Õ137;11,402;18,1448;11,9958;8,9982;0;0,,
Õ138;24,3351;33,5821;33,981;52,2788;0;0,,
Õ139;19,3204;66,0775;83,8226;70,9748;73,7502;0,
Õ140;6,1739;11,8996;5,5086;8,2143;68,8892;0,
Õ141;13,3293;14,8692;7,057;11,8144;0;0,,
Õ142;12,6153;24,1037;6,0112;5,4635;6,0673;0,
Õ143;12,632;9,8897;6,3884;6,5153;0;0,,
Õ144;3,9782;4,4416;2,4694;6,5538;0;0,,
Õ145;8,5307;10,5463;32,6352;13,3943;15,0518;0,
Õ146;12,0337;13,8386;3,8437;3,1316;0;0,,
Õ147;5,0313;6,4083;4,9482;17,8519;3,2971;0,
Õ148;12,5343;31,656;27,3272;19,4975;21,6304;0,
Õ149;14,9713;21,0232;29,8149;24,62;0;0,,
Õ150;0;0;0;15,0857;20,0512;0,,,,
Õ151;37,8014;41,6747;38,2953;23,846;0;0,,
Õ152;0;0;0;7,5869;6,4613;5,2985,,,
Õ153;18,6336;20,7784;36,466;49,1175;0;0,,
Õ154;21,5144;18,1264;11,913;3,1605;7,7786;7,2568
Õ155;16,4598;15,9712;12,167;8,1104;9,4939;0,
Õ156;18,7142;27,626;26,9307;24,6899;0;0,,
Õ157;14,7377;17,0182;10,8011;13,2506;10,5928;0,
Õ158;17,115;15,8688;11,8224;8,4259;8,8502;0,
Õ159;0;0;0;7,9596;9,8581;7,7354,,,
Õ160;47,6622;46,282;37,2504;38,4955;35,4637;0,
Õ161;25,3822;22,4699;44,4683;34,654;0;0,,
Õ162;71,8215;75,3275;74,8761;84,3436;0;0,,
Õ163;60,1704;12,1634;22,7242;8,8977;5,6293;2,9551
Õ164;31,8347;37,4644;28,2732;21,349;0;0,,
Õ165;20,5429;13,9986;16,1972;5,678;10,4649;0,
Õ166;0;0;0;28,0145;21,1391;13,333,,,
Õ167;20,9608;34,7118;36,8825;37,8586;35,872;40,7602
Õ168;3,1516;1,6154;4,998;2,5463;1,1404;1,9788
Õ169;61,5676;56,1541;13,5896;14,3992;11,0201;6,6206
Õ170;15,6312;13,9637;11,1753;13,7298;13,0831;14,621
Õ171;62,3094;56,4069;65,5924;14,959;0;0,,
Õ172;43,0877;79,8423;87,479;86,7799;92,027;0,
Õ173;20,5358;34,4843;40,4395;49,9326;0;0,,
Õ174;21,733;21,0061;11,1752;24,5451;20,4862;12,7431
Õ175;17,7677;18,8201;14,3347;18,9318;13,6679;9,4246
Õ176;17,3439;18,6658;12,8008;6,0403;0;0,,
Õ177;36,5343;20,8531;9,9795;15,1771;0;0,,
Õ178;0,9938;0,7376;0,3733;4,9399;5,4834;3,7046
Õ179;41,88;43,8757;35,6611;50,9193;0;0,,
Õ180;92,3263;58,8707;0;0;0;0,,,,
Õ181;22,6548;11,5341;14,8953;8,2005;7,652;0,
Õ182;5,7027;4,1834;3,5986;5,9481;6,3399;8,604
Õ183;22,4282;19,9156;17,1428;20,8348;0;0,,
Õ184;17,4131;12,368;9,7036;11,7351;16,0644;11,2276
Õ185;28,1906;26,317;19,6465;14,8211;8,4213;0,
Õ186;6,5704;2,9297;4,049;4,2212;2,6122;2,9792
Õ187;17,6603;12,8771;11,5654;13,5271;0;0,,
Õ188;17,109;9,1788;11,6779;12,6806;0;0,,
Õ189;37,3516;17,8837;9,222;15,3048;0;0,,
Õ190;15,9207;15,6317;24,359;16,2147;21,7003;25,8239
Õ191;19,61;19,0964;28,6263;15,369;0;0,,
Õ192;27,292;10,1669;31,827;8,1043;0;0,,
Õ193;32,7391;27,0579;23,7941;21,7805;0;0,,
Õ194;0;0;12,0687;8,0352;8,0867;0,,,
Õ195;0;0;0;10,3421;19,0898;13,4136,,,
Õ196;33,3519;34,362;26,7181;28,1882;0;0,,
Õ197;24,1038;32,124;17,491;21,1233;12,074;8,9678
Õ198;8,9169;20,5187;18,3801;7,7566;9,024;5,9909
Õ199;18,5275;14,0886;26,2365;7,6307;3,0409;0,
Õ200;20,4832;25,7619;15,4798;35,0013;0;0,,
Õ201;22,9685;19,0031;14,0996;5,9266;0;0,,
Õ202;4,0943;3,561;3,2678;4,2693;8,2983;8,1892
Õ203;27,479;15,7387;65,2895;72,0855;0;0,,
Õ204;57,868;75,277;71,8761;81,8293;85,0268;0,
Õ205;25,9313;28,4683;29,6319;17,3282;0;0,,
Õ206;38,9276;31,6085;12,1524;29,6277;0;0,,
Õ207;53,1687;79,4103;78,6169;72,5291;78,6818;62,4659
Õ208;18,1949;16,2389;7,8303;6,3877;6,0937;0,
Õ209;13,7922;14,5324;10,3322;9,1024;9,1737;5,6507
Õ210;22,399;12,5046;16,6907;12,2267;11,5467;0,
Õ211;3,3376;12,434;25,4405;5,46;6,7749;4,1878
Õ212;30,0251;17,608;15,5103;7,7287;8,9136;0,
Õ213;0;0;0;9,001;19,2532;17,2979,,,
Õ214;14,5193;20,226;19,4848;18,5282;0;0,,
Õ215;7,777;16,9939;32,801;8,9336;19,4872;13,2091
Õ216;4,8029;13,5839;3,9129;4,1513;0;0,,
Õ217;10,9982;6,9114;32,4785;45,684;33,3932;39,2202
Õ218;15,5977;30,9707;8,5553;10,3537;11,2917;11,8235
Õ219;8,8254;4,5083;10,6237;4,7021;0;0,,
Õ220;26,3569;45,5378;28,0782;15,3031;11,8121;0,
Õ221;14,5588;27,2389;17,8268;21,9725;0;0,,
Õ222;12,0331;17,214;32,4225;8,74;11,1831;6,4052
Õ223;10,7501;7,0182;5,6131;7,0076;3,9069;4,547
Õ224;14,5061;25,9654;21,8379;12,4626;9,1892;29,3552
Õ225;73,206;70,6913;71,6124;63,0768;70,5748;0,
Õ226;2,9218;1,4479;12,3878;42,0293;0;0,,
Õ227;28,3163;45,8964;24,77;37,5988;44,9185;26,324
Õ228;19,8352;12,231;4,3164;7,638;0;0,,
Õ229;32,1343;28,1364;19,89;17,0114;0;0,,
Õ230;17,705;6,3515;10,6699;8,6049;7,3069;4,646
Õ231;7,5954;5,2166;0;0;0;0,,,,
Õ232;4,1657;16,4389;2,5097;8,4271;0;0,,
Õ233;21,2493;47,8101;19,2512;15,0671;1,9089;5,4959
Õ234;54,4624;40,0373;23,6204;33,8498;26,4493;23,4232
Õ235;21,6264;31,8917;22,8068;15,4388;33,4705;0,
Õ236;10,8351;13,3435;8,6028;11,2563;0;0,,
Õ237;6,887;12,9796;15,9316;13,1305;4,6883;6,801
Õ238;1,195;1,4985;1,5183;3,4656;1,8965;0,
Õ239;17,8607;15,6159;14,6437;13,0159;0;0,,
Õ240;20,3401;24,9968;7,4685;6,9656;7,8974;0,
Õ241;22,338;35,1673;67,4668;83,5372;76,1223;0,
Õ242;28,7847;25,1241;24,233;8,9696;18,313;0,
Õ243;15,6072;29,312;12,742;23,7002;0;0,,
Õ244;13,9399;13,5829;12,7559;13,5633;11,2546;0,
Õ245;38,8262;17,9695;37,6478;45,2353;0;0,,
Õ246;3,7414;4,5322;4,4426;2,2924;3,1614;0,
Õ247;8,4465;8,4045;10,9322;13,1977;8,1324;4,6085
Õ248;4,1468;6,3777;8,009;7,2895;0;0,,
Õ249;12,3119;11,4814;6,7627;6,8614;0;0,,
Õ250;16,5424;14,9622;7,0212;6,6105;0;0,,
Õ251;12,0572;5,6157;7,0606;7,3444;6,6273;11,9081
Õ252;6,8198;12,0751;10,0921;3,4367;0;0,,
Õ253;0,3552;1,0037;0,7475;1,0428;1,2142;0,331
Õ254;33,0406;59,179;42,7919;43,7363;49,3493;30,4835
Õ255;36,0303;19,017;12,338;16,2359;0;0,,
Õ256;16,0403;10,2053;9,5919;8,198;0;0,,
Õ257;0;0;0;0;14,3036;5,8351,,,,
Õ258;11,1029;1,8798;5,7897;3,1808;2,7046;6,2824
Õ259;34,1874;50,5779;13,7963;6,432;0;0,,
Õ260;23,705;40,1006;20,178;51,3513;0;0,,
Õ261;29,7495;23,545;9,0948;4,0057;12,4079;3,4903
Õ262;26,6085;17,5155;10,2435;20,4597;21,322;21,8343
Õ263;25,389;22,7726;7,1355;9,0248;11,8191;0,
Õ264;17,4778;26,187;32,657;33,7045;34,1054;29,316
Õ265;9,9964;12,5036;9,7319;7,7783;8,8365;9,7898
Õ266;54,9913;41,3362;74,6064;89,7317;73,239;60,4354
Õ267;0;65,0719;39,5459;33,6695;58,495;0,,
Õ268;15,4047;15,8603;15,1074;12,4867;11,2187;10,6376
Õ269;15,7407;9,5975;30,2;15,4453;15,953;18,9101
Õ270;82,598;62,6177;52,4626;53,1353;48,2101;59,2039
Õ271;12,1426;7,7653;9,7643;5,6197;5,4413;5,782
Õ272;12,9664;12,7281;8,2916;25,1898;0;0,,
Õ273;0;0;18,8805;20,2369;15,8399;21,7676,,
Õ274;10,034;8,8052;6,5118;10,7851;5,3275;2,5143
Õ275;33,0649;27,2;23,5375;12,8741;0;0,,
Õ276;14,6365;31,1331;18,3771;16,793;0;0,,
Õ277;14,7716;24,2407;27,9701;31,0334;0;0,,
Õ278;24,0523;17,8926;40,5274;47,2088;40,9881;0,
Õ279;30,5423;9,0576;8,6022;6,5283;1,8253;0,
Õ280;46,3063;15,5653;9,2706;14,7979;7,7509;0,
Õ281;12,5693;35,9229;17,8716;31,489;0;0,,
Õ282;9,8306;10,1524;5,5754;5,8065;4,8104;3,893
Õ283;10,6649;5,8031;5,8599;3,7379;0;0,,
Õ284;8,9204;10,0355;11,4393;5,1883;0;0,,
Õ285;8,45;9,2748;12,0407;9,0741;0;0,,
Õ286;20,6628;17,3441;20,4519;18,3582;10,6422;0,
Õ287;0;13,5857;14,3068;14,3186;11,1295;14,4938,
Õ288;60,7997;37,2982;22,3297;11,7496;0;0,,
Õ289;19,0153;22,9651;15,0648;14,7829;0;0,,
Õ290;30,0277;20,6106;14,5738;29,1774;0;0,,
Õ291;56,6128;33,4399;33,3588;21,3371;15,5764;0,
Õ292;18,746;21,363;5,6751;4,257;7,7072;0,
Õ293;36,9864;35,6169;17,1583;11,8296;12,7494;7,311
Õ294;20,7429;14,3444;13,1987;11,3466;0;0,,
Õ295;1,0675;0,9448;0,3984;0,3006;0;0,,
Õ296;7,4591;9,8462;4,4536;38,9776;0;0,,
Õ297;10,5965;11,9416;13,3527;3,5937;0;0,,
Õ298;9,3696;12,4981;10,1863;13,4204;10,0219;0,
Õ299;20,1253;19,2243;23,4181;15,0323;0;0,,
Õ300;9,5544;6,342;6,157;5,9925;5,1437;5,6223
Õ301;0;0;28,4302;39,1262;38,9308;37,7742,,
Õ302;18,0496;15,9082;25,4936;35,2297;40,339;35,9148
Õ303;10,974;6,499;5,8387;6,4592;5,5226;6,3173
Õ304;36,288;40,6563;19,098;19,3696;0;0,,
Õ305;28,9163;40,8383;39,1662;20,926;7,6583;6,832
Õ306;18,6416;17,5537;15,8016;15,3716;10,8035;13,2176
Õ307;25,2493;22,2739;22,584;27,5898;51,2576;0,
Õ308;0;0;0;0;13,3883;37,962,,,,
Õ309;17,0431;15,2922;47,524;59,8544;0;0,,
Õ310;25,8277;46,2417;24,1605;21,6458;49,0124;89,851
Õ311;15,4865;20,5446;24,1752;15,2221;14,1301;4,5252
Õ312;20,1145;5,1234;4,5083;4,7257;3,6534;4,8028
Õ313;20,2957;11,4232;23,8096;49,4671;54,1854;39,35
Õ314;7,4572;10,5285;10,9265;10,0767;5,7407;13,144
Õ315;12,478;17,9268;19,3053;17,8407;14,649;0,
Õ316;9,2008;7,59;6,8835;7,9329;7,7306;0,
Õ317;11,4079;7,1653;5,2483;6,0742;7,2094;8,1779
Õ318;19,5881;11,4152;10,7961;3,5497;3,7064;5,2412
Õ319;5,0099;4,3371;8,7614;12,6275;7,508;5,7349
Õ320;0;0;0;0;7,5184;6,4781,,,,
Õ321;19,7466;12,2061;14,2489;8,6258;5,2879;0,
Õ322;15,4805;37,4867;19,0418;22,5397;22,5002;0,
Õ323;9,1378;9,1323;6,6294;7,5745;6,1872;5,9451
Õ324;12,6021;11,2253;3,7969;5,7958;11,3517;0,
Õ325;18,1573;18,5089;26,5685;13,2783;0;0,,
Õ326;20,4783;31,4229;26,2623;27,2831;20,4306;28,2733
Õ327;13,0589;10,437;9,1564;8,4719;7,7999;11,3464
Õ328;20,3515;36,8013;45,4139;37,7104;9,1197;13,1207
Õ329;34,4078;26,2148;15,0508;10,7292;19,4206;0,
Õ330;19,4845;21,0213;28,0267;23,7622;23,6035;0,
Õ331;0;0;15,7434;12,9141;14,6611;3,8485,,
Õ332;21,5939;21,6692;19,7526;23,6474;21,9326;16,7749
Õ333;29,1218;28,3317;26,4878;15,3952;0;0,,
Õ334;9,9819;14,6018;4,8112;3,9208;5,0892;3,5989
Õ335;16,2077;15,6321;14,2901;12,9158;0;0,,
Õ336;9,8659;5,4442;8,105;8,272;5,0067;0,
Õ337;13,4092;19,1968;12,849;10,6284;12,1851;8,2809
Õ338;16,6505;17,9892;14,5624;11,7156;10,6121;0,
Õ339;11,018;10,6839;7,1745;5,2995;9,2289;4,7336
Õ340;18,6653;52,5528;26,7005;5,8655;0;0,,
Õ341;17,7955;14,5702;7,8828;8,2228;0;0,,
Õ342;64,9542;27,4759;24,4584;27,9507;0;0,,
Õ343;11,2886;14,6923;6,7151;16,2873;10,1062;10,2455
Õ344;12,5442;13,5951;9,9711;8,1563;7,7671;9,2473
Õ345;16,1179;19,6487;34,1442;33,8607;0;0,,
Õ346;6,9467;10,2084;5,5068;20,1563;16,5966;15,6691
Õ347;9,1616;8,5371;10,0944;8,5917;6,7275;6,9535
Õ348;18,7682;17,8922;10,7306;10,1931;8,6293;7,1551
Õ349;38,6511;46,4565;38,2704;39,5138;43,3729;0,
Õ350;16,9894;12,8572;10,0626;9,0781;15,9289;0,
Õ351;20,4649;30,4654;34,891;37,851;44,13;46,9397
Õ352;25,7917;20,3712;10,7492;8,3477;7,1923;5,9169
Õ353;15,2624;19,8067;65,217;4,0918;48,9938;0,
Õ354;7,9963;6,0093;5,0393;8,055;5,6656;7,662
Õ355;0;1,9263;1,5838;3,9094;4,5296;2,7437,
Õ356;32,1801;25,5612;21,6197;22,1857;21,1285;0,
Õ357;8,3119;4,0709;3,809;67,4533;43,8679;20,1521
Õ358;13,3328;10,7952;9,3932;9,9897;10,3142;7,1229
Ä1.15;75,218;0;0;0;0;0,,,,,
Ä2.15;9,8712;0;0;0;0;0,,,,,
Ä3.15;0;0;0;0;0;0,,,,,,
Ä4.15;37,0654;0;0;0;0;0,,,,,
Ä5.15;21,8148;0;0;0;0;0,,,,,
Ä6.15;20,3992;0;0;0;0;0,,,,,
Ä7.15;6,4357;0;0;0;0;0,,,,,
Ä8.15;4,1047;0;0;0;0;0,,,,,
Ä9.15;0;0;0;0;0;0,,,,,,
Ä10.15;0;0;0;0;0;0,,,,,,
Ä11.15;19,196;0;0;0;0;0,,,,,
Ä12.15;48,5179;0;0;0;0;0,,,,,
Ä13.15;16,7794;0;0;0;0;0,,,,,
Ä14.15;0;0;0;0;0;0,,,,,,
Ä15.15;33,907;0;0;0;0;0,,,,,
Ä16.15;11,6068;0;0;0;0;0,,,,,
Ä17.15;6,6874;0;0;0;0;0,,,,,
Ä18.15;29,5559;0;0;0;0;0,,,,,
Ä19.15;0;0;0;0;0;0,,,,,,
Ä20.15;20,0726;0;0;0;0;0,,,,,
Ä21.15;0;0;0;0;0;0,,,,,,
Ä22.15;0;0;0;0;0;0,,,,,,
Ä23.15;0;0;0;0;0;0,,,,,,
Ä24.15;7,2993;0;0;0;0;0,,,,,
Ä25.15;0;0;0;0;0;0,,,,,,
Ä26.15;1,8326;0;0;0;0;0,,,,,
Ä27.15;0;0;0;0;0;0,,,,,,
Ä28.15;15,4868;0;0;0;0;0,,,,,
Ä29.15;11,3352;0;0;0;0;0,,,,,
Ä30.15;0;0;0;0;0;0,,,,,,
Ä31.15;0;0;0;0;0;0,,,,,,
Ä32.15;0;0;0;0;0;0,,,,,,
Ä33.15;26,7295;0;0;0;0;0,,,,,
Ä34.15;38,8579;0;0;0;0;0,,,,,
Ä35.15;0;0;0;0;0;0,,,,,,
Ä36.15;0;0;0;0;0;0,,,,,,
Ä37.15;0;0;0;0;0;0,,,,,,
Ä38.15;0;0;0;0;0;0,,,,,,
Ä39.15;16,6454;0;0;0;0;0,,,,,
Ä40.15;0;0;0;0;0;0,,,,,,
Ä41.15;17,1046;0;0;0;0;0,,,,,
Ä42.15;0;0;0;0;0;0,,,,,,
Ä43.15;8,706;0;0;0;0;0,,,,,
Ä44.15;0;0;0;0;0;0,,,,,,
Ä45.15;0;0;0;0;0;0,,,,,,
Ä46.15;0;0;0;0;0;0,,,,,,
Ä47.15;16,0453;0;0;0;0;0,,,,,
Ä48.15;0;0;0;0;0;0,,,,,,
Ä49.15;0;0;0;0;0;0,,,,,,
Ä50.15;0;0;0;0;0;0,,,,,,
Ä51.15;32,678;0;0;0;0;0,,,,,
Ä52.15;0;0;0;0;0;0,,,,,,
Ä53.15;13,9374;0;0;0;0;0,,,,,
Ä54.15;11,5596;0;0;0;0;0,,,,,
Ä55.15;0;0;0;0;0;0,,,,,,
Ä56.15;0;0;0;0;0;0,,,,,,
Ä57.15;0;0;0;0;0;0,,,,,,
Ä58.15;7,8613;0;0;0;0;0,,,,,
Ä59.15;0;0;0;0;0;0,,,,,,
Ä60.15;7,8609;0;0;0;0;0,,,,,
Ä61.15;16,2724;0;0;0;0;0,,,,,
Ä62.15;12,3136;0;0;0;0;0,,,,,
Ä63.15;5,8867;0;0;0;0;0,,,,,
Ä64.15;13,6534;0;0;0;0;0,,,,,
Ä65.15;0;0;0;0;0;0,,,,,,
Ä66.15;0;0;0;0;0;0,,,,,,
Ä67.15;0;0;0;0;0;0,,,,,,
Ä68.15;0;0;0;0;0;0,,,,,,
Ä1.16;0;0;0;0;0;0,,,,,,
Ä2.16;0;0;0;0;0;0,,,,,,
Ä3.16;13,7678;0;0;0;0;0,,,,,
Ä4.16;7,6877;0;0;0;0;0,,,,,
Ä5.16;9,381;0;0;0;0;0,,,,,
Ä6.16;41,7875;0;0;0;0;0,,,,,
Ä7.16;4,0349;0;0;0;0;0,,,,,
Ä8.16;15,7827;0;0;0;0;0,,,,,
Ä9.16;11,7563;8,2684;0;0;0;0,,,,
Ä10.16;15,5568;0;0;0;0;0,,,,,
Ä11.16;11,3163;15,3986;0;0;0;0,,,,
Ä12.16;9,9835;0;0;0;0;0,,,,,
Ä13.16;41,1424;62,9195;0;0;0;0,,,,
Ä14.16;0;0;0;0;0;0,,,,,,
Ä15.16;25,5208;0;0;0;0;0,,,,,
Ä16.16;9,4558;15,5896;0;0;0;0,,,,
Ä17.16;17,549;30,2425;0;0;0;0,,,,
Ä18.16;14,6529;4,1829;0;0;0;0,,,,
Ä19.16;42,8132;22,9379;0;0;0;0,,,,
Ä20.16;19,5693;10,0117;0;0;0;0,,,,
Ä21.16;15,7852;0;0;0;0;0,,,,,
