type;name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020
G;164;31.8347;37.4644;28.2732;21.349;0;0
G;165;20.5429;13.9986;16.1972;5.678;10.4649;0
G;166;0;0;0;28.0145;21.1391;13.333
G;167;20.9608;34.7118;36.8825;37.8586;35.872;40.7602
G;168;3.1516;1.6154;4.998;2.5463;1.1404;1.9788
G;169;61.5676;56.1541;13.5896;14.3992;11.0201;6.6206
G;170;15.6312;13.9637;11.1753;13.7298;13.0831;14.621
G;171;62.3094;56.4069;65.5924;14.959;0;0
G;172;43.0877;79.8423;87.479;86.7799;92.027;0
G;173;20.5358;34.4843;40.4395;49.9326;0;0
G;174;21.733;21.0061;11.1752;24.5451;20.4862;12.7431
G;175;17.7677;18.8201;14.3347;18.9318;13.6679;9.4246
G;176;17.3439;18.6658;12.8008;6.0403;0;0
G;177;36.5343;20.8531;9.9795;15.1771;0;0
G;178;0.9938;0.7376;0.3733;4.9399;5.4834;3.7046
G;179;41.88;43.8757;35.6611;50.9193;0;0
G;180;92.3263;58.8707;0;0;0;0
G;181;22.6548;11.5341;14.8953;8.2005;7.652;0
G;182;5.7027;4.1834;3.5986;5.9481;6.3399;8.604
G;183;22.4282;19.9156;17.1428;20.8348;0;0
G;184;17.4131;12.368;9.7036;11.7351;16.0644;11.2276
G;185;28.1906;26.317;19.6465;14.8211;8.4213;0
G;186;6.5704;2.9297;4.049;4.2212;2.6122;2.9792
G;187;17.6603;12.8771;11.5654;13.5271;0;0
G;188;17.109;9.1788;11.6779;12.6806;0;0
G;189;37.3516;17.8837;9.222;15.3048;0;0
G;190;15.9207;15.6317;24.359;16.2147;21.7003;25.8239
G;191;19.61;19.0964;28.6263;15.369;0;0
G;192;27.292;10.1669;31.827;8.1043;0;0
G;193;32.7391;27.0579;23.7941;21.7805;0;0
G;194;0;0;12.0687;8.0352;8.0867;0
G;195;0;0;0;10.3421;19.0898;13.4136
G;196;33.3519;34.362;26.7181;28.1882;0;0
G;197;24.1038;32.124;17.491;21.1233;12.074;8.9678
G;198;8.9169;20.5187;18.3801;7.7566;9.024;5.9909
G;199;18.5275;14.0886;26.2365;7.6307;3.0409;0
G;200;20.4832;25.7619;15.4798;35.0013;0;0
G;201;22.9685;19.0031;14.0996;5.9266;0;0
G;202;4.0943;3.561;3.2678;4.2693;8.2983;8.1892
G;203;27.479;15.7387;65.2895;72.0855;0;0
G;204;57.868;75.277;71.8761;81.8293;85.0268;0
G;205;25.9313;28.4683;29.6319;17.3282;0;0
G;206;38.9276;31.6085;12.1524;29.6277;0;0
G;207;53.1687;79.4103;78.6169;72.5291;78.6818;62.4659
G;208;18.1949;16.2389;7.8303;6.3877;6.0937;0
G;209;13.7922;14.5324;10.3322;9.1024;9.1737;5.6507
G;210;22.399;12.5046;16.6907;12.2267;11.5467;0
G;211;3.3376;12.434;25.4405;5.46;6.7749;4.1878
G;212;30.0251;17.608;15.5103;7.7287;8.9136;0
G;213;0;0;0;9.001;19.2532;17.2979
G;214;14.5193;20.226;19.4848;18.5282;0;0
G;215;7.777;16.9939;32.801;8.9336;19.4872;13.2091
G;216;4.8029;13.5839;3.9129;4.1513;0;0
G;217;10.9982;6.9114;32.4785;45.684;33.3932;39.2202
G;218;15.5977;30.9707;8.5553;10.3537;11.2917;11.8235
G;219;8.8254;4.5083;10.6237;4.7021;0;0
G;220;26.3569;45.5378;28.0782;15.3031;11.8121;0
G;221;14.5588;27.2389;17.8268;21.9725;0;0
G;222;12.0331;17.214;32.4225;8.74;11.1831;6.4052
G;223;10.7501;7.0182;5.6131;7.0076;3.9069;4.547
G;224;14.5061;25.9654;21.8379;12.4626;9.1892;29.3552
G;225;73.206;70.6913;71.6124;63.0768;70.5748;0
G;226;2.9218;1.4479;12.3878;42.0293;0;0
G;227;28.3163;45.8964;24.77;37.5988;44.9185;26.324
G;228;19.8352;12.231;4.3164;7.638;0;0
G;229;32.1343;28.1364;19.89;17.0114;0;0
G;230;17.705;6.3515;10.6699;8.6049;7.3069;4.646
G;231;7.5954;5.2166;0;0;0;0
G;232;4.1657;16.4389;2.5097;8.4271;0;0
G;233;21.2493;47.8101;19.2512;15.0671;1.9089;5.4959
G;234;54.4624;40.0373;23.6204;33.8498;26.4493;23.4232
G;235;21.6264;31.8917;22.8068;15.4388;33.4705;0
G;236;10.8351;13.3435;8.6028;11.2563;0;0
G;237;6.887;12.9796;15.9316;13.1305;4.6883;6.801
G;238;1.195;1.4985;1.5183;3.4656;1.8965;0
G;239;17.8607;15.6159;14.6437;13.0159;0;0
G;240;20.3401;24.9968;7.4685;6.9656;7.8974;0
G;241;22.338;35.1673;67.4668;83.5372;76.1223;0
G;242;28.7847;25.1241;24.233;8.9696;18.313;0
G;243;15.6072;29.312;12.742;23.7002;0;0
G;244;13.9399;13.5829;12.7559;13.5633;11.2546;0
G;245;38.8262;17.9695;37.6478;45.2353;0;0
G;246;3.7414;4.5322;4.4426;2.2924;3.1614;0
G;247;8.4465;8.4045;10.9322;13.1977;8.1324;4.6085
G;248;4.1468;6.3777;8.009;7.2895;0;0
G;249;12.3119;11.4814;6.7627;6.8614;0;0
G;250;16.5424;14.9622;7.0212;6.6105;0;0
G;251;12.0572;5.6157;7.0606;7.3444;6.6273;11.9081
G;252;6.8198;12.0751;10.0921;3.4367;0;0
G;253;0.3552;1.0037;0.7475;1.0428;1.2142;0.331
G;254;33.0406;59.179;42.7919;43.7363;49.3493;30.4835
G;255;36.0303;19.017;12.338;16.2359;0;0
G;256;16.0403;10.2053;9.5919;8.198;0;0
G;257;0;0;0;0;14.3036;5.8351
G;258;11.1029;1.8798;5.7897;3.1808;2.7046;6.2824
G;259;34.1874;50.5779;13.7963;6.432;0;0
G;260;23.705;40.1006;20.178;51.3513;0;0
G;261;29.7495;23.545;9.0948;4.0057;12.4079;3.4903
G;262;26.6085;17.5155;10.2435;20.4597;21.322;21.8343
G;263;25.389;22.7726;7.1355;9.0248;11.8191;0
G;264;17.4778;26.187;32.657;33.7045;34.1054;29.316
G;265;9.9964;12.5036;9.7319;7.7783;8.8365;9.7898
G;266;54.9913;41.3362;74.6064;89.7317;73.239;60.4354
G;267;0;65.0719;39.5459;33.6695;58.495;0
G;268;15.4047;15.8603;15.1074;12.4867;11.2187;10.6376
G;269;15.7407;9.5975;30.2;15.4453;15.953;18.9101
G;270;82.598;62.6177;52.4626;53.1353;48.2101;59.2039
G;271;12.1426;7.7653;9.7643;5.6197;5.4413;5.782
G;272;12.9664;12.7281;8.2916;25.1898;0;0
G;273;0;0;18.8805;20.2369;15.8399;21.7676
G;274;10.034;8.8052;6.5118;10.7851;5.3275;2.5143
G;275;33.0649;27.2;23.5375;12.8741;0;0
G;276;14.6365;31.1331;18.3771;16.793;0;0
G;277;14.7716;24.2407;27.9701;31.0334;0;0
G;278;24.0523;17.8926;40.5274;47.2088;40.9881;0
G;279;30.5423;9.0576;8.6022;6.5283;1.8253;0
